AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,scalar_text_sequentiality,story_type
3X4JMASXCNVG2VYF1TWEL8V9PU00B2,1970,1BA7E9O1,30.0,man,white,2.0,1.0,3.0,3.0,4.499809670330264,about a serious injury to my hand,recalled,when I realized the damage was permanent,0.375,,,,,"July 2nd.  I tripped on that broken basement step that I keep forgetting to fix.   I was carrying a jar of  pickles at the time, and when I fell, the jar broke and badly cut my hand and wrist.  I couldn't get the bleeding to stop, so I called an ambulance.  It was embarrassing to have to call them, but I was losing a lot of blood.  They put a tourniquet on it and took me to the emergency room which was less than 5 minutes.  The damage was pretty bad and the cuts were jagged so they had a lot of trouble getting it sewn together.  They used a lot of glue on top of the stitches as well.  It didn't hurt very much, but I wouldn't realize until the next day that that was a bad sign.  They wrapped the whole thing in a large bandage and I went home.  It wasn't for another hour or more before I realized I couldn't feel anything in my last two fingers.  I thought maybe the bandage was wrapped too tight and ignored it, but the next day I took some of the wrapping off and realized that I didn't have feeling in the fingers or that part of  my palm below them either.  I also couldn't spread my fingers or move them much.  I was still hoping a lot of this would heal, but I looked online and saw that I might have some permanent damage.  It was  depressing news, and I was pretty upset about possibly not being able to use the hand again, but since I don't have insurance, there wasn't much I could do except to hope that when the swelling came down some, it would improve.  Unfortunately, I found over the next week that the hand would never come back to the way it was before.  Fortunately it was my left hand and I was able to compensate for it pretty well, but there are some things I can't do and if people look at it closely, they could see that the two smaller fingers are permanently bent in a weird way.  I did fix that basement step, though.",1.0,I tripped on a broken step while carrying a jar that broke.  The broken glass cut my hand and wrist and did permanent damage.,90.0,1.0407215794077969,Recall
3NLZY2D53QBG3XPQ94FNEHIW5YNQLR,696,VJQ3OLHL,35.0,man,white,1.0,1.0,4.0,5.0,4.51085950651685,my wife and I getting a puppy.,recalled,we fell in love as much as we did.,0.375,,,,,"Four months ago, my wife and I adopted our first fur baby. Loki, our Pomchi, was going to be made homeless if we did not intervene. He was love at first site, as my Wife and I quickly approached the people who were trying to give him away. It was like welcoming a new baby on the day we received him. The ride home was a little bumpy and it upset Loki's stomach a bit. As my wife carried him to the front door the pup vomited all over her. This has certainly been an adventure over the last few months. Sometimes it feels as if we are raising a child. When I think back to the day we brought him home, I knew we were in love with him. However, I never though it would progress to the love we have now. He sleeps with my wife and I. He follows us everywhere we go. We are still working on his Separation Anxiety, but he is slowly making progress. If we were gonna get a pet, I am glad it was this one. Loki, will be forever a part of my family, and my hope is through this essay, he will fill your hearts as well.",1.0,My wife and I got a new dog. He was adopted from people that were no longer able to keep him. We fell in love with the dog like he was our own child.,91.0,1.2975455418818451,Recall
3V0Z7YWSIZM27JZZLXRS58IV5Y4V2Z,1566,HR4ZDK8R,30.0,man,white,5.0,4.0,3.0,3.0,4.787491742782046,my love story described above condition,recalled,my birthday that will surprising the moment of the day love proposed.,-0.25,,,,,"A birthday is a time when a person acknowledges the anniversary of his or her birth. In most cultures, birthdays are celebrated in some of the same ways. Often, birthdays are celebrated with a gift, party, or some other special act. main event this Falling in love with the person that is your perfect fit is one of the best feelings in the world. Although it's not uncommon to find yourself falling in love (or simply, lust) with the wrong person before getting to Mr. Right, when you finally meet the guy for you, you'll realize it was worth the wait. Everything you thought you knew about love and relationships will suddenly be turned on its head. And it's not just love you'll feel - you'll go through a whole host of other positive emotions. Here are some of the things you can expect to feel when you start falling for the right someone. When I met my husband, the primary emotion I remember feeling was shock. It sounds nuts, but I truly couldn't believe he even existed. I had spent so much time before not even sure if I wanted to be in a relationship. I didn't really believe that true love was real, and I definitely didn't think I'd ever feel so strongly about someone that I wanted to be with forever. Falling in love with the right person will leave you feeling surprised, like you didn't see it coming. You'll marvel at the fact that someone so perfect for you even exists - let alone loves as much as they do, too. In prior relationships, I would purposely not express how I was feeling most of the time, for fear of being judged or ridiculed. It could be the biggest thing, like disappointment over a friend moving, to the smallest, like moodiness from PMS. It didn't matter - if it was a real feeling, I kept it to myself. With my husband, however, I want to do the exact opposite: share everything with him. When you're with the right someone, you'll know because you'll feel safer than you ever have in the past. In relationships before my husband, I knew what it was like to feel momentarily excited (or even happy) for a little bit.",4.0,"She also told me that she had a crush on me the entire time we were in high school, but didn't think I would go out with her ... It was the kind of love story movies were made of. .... Last fall my daughter started kindergarden.",120.0,1.028136511237888,Recall
3I33IC7ZWGOIFVW1A20W9L4IUF6A28,5545,E9GOZ29U,30.0,woman,other,1.0,1.0,4.0,4.0,3.0445224377234235,how a cop's kindness made my day.,recalled,the pedestrians turned out to be attendees of the same game,0.75,,,,,"Thanks to my pals constantly remonding me to show up, I gave in and drove out to the game. The weather was lovely. I found out, suddenly that the traffic was being rerouted and I was forced to park far away. I walked to the north entrance.  Walking felt awful because the sun was bright and was getting hot. there were cops everywhere. One policeman was very kind to a couple of ladies. I asked him about the north entrance to the game. He gave me directions. the he did something unexpected. Cops dot do that. He told me how to get there, he told me that the game would start a little later because they knew about teh detour. He also pointed to some other pedestrians who were walking. He motioned them to come over. He told them that I was going to the game too.  I thanked him so mnay times that he started giggling. and blushing. I walked to the stadium with my new found guides and was teher before long.  Then my friends found me. We all sat close to each other, after exchanging seats. We rooted for the same team. I expected to be miserable, but that was so fun that I am looking to another game again. I keep thinking of how kind the cop was.",1.0,"I went to catch a game and somuch for thanks to a cop's kindness that I just want to catch another game.It was great fun, when I had expected it to be not fun at all. I made new friends too.",21.0,1.4815448057938014,Recall
3XCC1ODXDMXR6VK3EOCJ0TRV2QPRQM,2697,RZIQ78BJ,25.0,woman,white,5.0,4.0,5.0,5.0,5.598421958998375,about getting a promotion,recalled,when I fell on my face,-0.25,,,,,"Designed for convenience and comfort, Story Step Through bikes are perfect for an effortless joyful ride on a beautiful day. The easy adjust handle bar and seat move up or down easily without the need of any tools. This is perfect and convenient for any rider to adjust to their size within seconds. With its curved, open, step-through frame design, it is often referred to as a Dutch bike. It's a time-tested classic cruiser bike design seen commonly throughout Europe for decades. Intended for a flat or moderately hilly terrain, this bike is ideal for any of your needs with it’s electric motor powering you to where you want to be. Utilize the 7 speed options to pick whether you're looking to climb those hills, or want to pick up speed on flat grounds. It includes both front & rear fenders, as well as a rear mounted rack3 years ago this week we released the heart-wrenching episode Romance. Today we revisit Chris as he explores one of Sydney’s most famous riding roads, the Putty Road in the first of a four-part series about the “Roads We Ride”Ride to the beach, work, grocery store, and back home all on a single charge. Powered by a 36V battery hidden in the down tube of the bike, Story Bikes will get you where you need to go. You can maximize your range by relying less on the motor and more on your output. With the Torque Sensing Crankset you are free to enjoy the pleasures of biking. Equipped with up to six different levels of pedal assist, just apply pressure and the motor will instantly power the bike to your preferred level. Story Bikes are equipped with a powerful motor capable of hitting speeds up to 20 MPH. Big hills? No problem. The 350W motor is discreet yet packs a major punch. 250W motors are also offered to comply with international regulations.",4.0,"my bike is very best is my life Designed for convenience and comfort, Story Step Through bikes are perfect for an effortless joyful ride on a beautiful day.",270.0,1.2681653882929218,Recall
3ZAZR5XV024WELWBJN512R4DPOPCZN,742,GMRJQ6RD,40.0,man,white,1.0,2.0,4.0,5.0,4.0943445622220995,an adventure we took while on vacation in Colorado.,recalled,we saw the mountain goats in the wild.,0.625,,,,,"An event that stands out in my memory was when my wife and I drove up to the summit of Mount Evans. This is the highest paved road in North America and sits just outside of Denver, Colorado. We took this excursion while we were on our first vacation without kids since our honeymoon; we have been married for just over 13 years. The event was emotional because the views on the way up the mountain were striking. You could see a number of other peaks across Colorado as you made the ascent and the landscape was beautiful. There were snow-covered mountain sides and a lake on the way up the mountain where you could get out and explore. We walked a number of trails. At times, the trails made me nervous as they were on the sides of high elevations and there weren't a lot of supports around. I was stressed at times that I was at risk of falling. The most memorable part of the trip was when we came across a herd of mountain goats near the top of the mountain. They would come right up to the side of the car and had no apprehension about the presence of humans. They were fun to observe, particularly the young goats in the herd, as they would frolic and play on the hillside. Though the event was memorable, it was also something that could be frustrating at times. It was crowded on the mountain that day. This wasn't unexpected, as the road is only safe to travel for roughly two to three months out of the year. But many people were driving in an unsafe manner. Some sped down the mountain. Others were not paying attention because they were distracted by the scenery. That added to the stress of the drive, which was somewhat nerve-wracking to begin with because the road was very narrow and didn't always feel safe. Arriving at the mountain top made it worth it though, as the view was breath taking. That said, it was hard to breath due to the high elevation at the summit, as the mountain is more than 14,000 feet up. I would do it again if given the chance. I even told my wife that it would be nice to take the kids to see the mountain and make the drive someday. It is an experience that I hope I never forget.",2.0,"When we saw the goats on the mountainside, all of the cars stopped in the road to get a closer look. When we reached the summit,  it was very difficult to find a safe place to park. On the way up the mountain, we explored there was a man fly fishing at the lake.",60.0,1.3071728227484605,Recall
3FTF2T8WLS4QMSK3WGB31X9NWI0W9A,1577,QNN7ITKB,25.0,man,white,3.0,4.0,4.0,3.0,2.6390573296152584,brother getting engaged,retold,the boy fell,-0.25,,,,,I remember a time when i was going to my mothers house last week.  I was going to my brothers wedding i was so happy and excited for him.  I remember when he always talked about getting married.  This was such a big day for him to get married.  I remember going to the wedding which was in my parents back yard.  I remember my brother had a very big smile on his face since he was getting married.  It was a very great time for our family and friends to get together for this big event.  I remember my brother walking down the aile.  I remember shortly after the bride came down  the aile after him.  It was a very exciting time.  SHortly after the ring boy came down and this was very funny because he fell over.  The end of the story is that they finally said there vows and got married.  After my family met for food.  It was a very fun time to say the least.  Everyone seemed very happy on this day!,4.0,{},14.0,1.69506659957285,Recall
3GU1KF0O4JNJQC2ZIEB409WHX2GBPO,1643,NRF9ZT3P,35.0,woman,white,1.0,1.0,5.0,5.0,4.499809670330264,My birthday this year,recalled,I found out I was getting an actual birthday party.,1.0,,,,,"My birthday is August 6th and this is the most memorable day to me.  I woke up that morning to check my facebook and was able to see all the wonderful people that told me Happy Birthday this year.  Oh and by the way, my husband forgot my birthday!  After all I am 35 and as you get older the less people celebrate you on your birthday and the more you hate celebrating because it means you are getting older.  So, back to the rest of the day, I sat there alone all day and then got a call from my best friend Callie Jane.  She told me she was thinking about me but had also forgot the exact day of my birthday.  I understood as I have trouble remembering as well these days too.  I told her it was actually today and that we would be celebrating my birthday at Oscar's it is a local bar and grill.  She told me that she would definitely make it.  Well two hours later I get a call from my husband as he is getting off work at this time.  It was around 3 that afternoon.  He tells me that he is sorry that he forgot my birthday and that he had talked to my best friend Callie Jane as well.  He told me that she wanted to throw a party for me at her place and asked what kind of cake I wanted.  I said that was okay, and that I wanted a cheesecake because I do not like regular cake.  So the plans were set, I was going to her house for my birthday.  She called me later that evening and told me that we would have a fish fry and cake.  I think I was 21 the last time it happened.  I also love fish and knew she was getting me a cheesecake.  So anyways, fast forward to the day of my party.  We get there and she has balloons and it is all decorated just for me.  Her and her friend Cara, that I recently met, put the whole party together.  But wait, that is not it, they also had me a gift.  It was a munchie basket.  I also got a homemade necklace from Cara which I love.  So, the night was wonderful we had drinks and mingled with a bunch of people.",1.0,It was my birthday.  My husband had forgot the day.  My best friend stepped in and saved the day with a great birthday party all for me.,90.0,1.2573525554948974,Recall
369J354OFEW77NS5J449VKWXIEIG6C,852,GNQ26JY0,18.0,man,white,1.0,1.0,5.0,4.0,3.0445224377234235,A breakup between two friends.,recalled,How she turned all the issues onto me like it was my fault.,0.5,,,,,"A few weeks ago, a friend of mine, and I, had split up. We both go to college and live in the same dorm building. She always had this pattern of making up excuses for not seeing me, or communicating with me. It has gone on since the begining of last year, we would try to do something of a routine together but she would always fail to commit. Last year it was running, then the next semester was going to gym, then this fall we decided we would try going to yoga. She had gone the first night with me, but she evaded it 3 times in a row after that. I told her over the summer that she would have to actually make an effort to reach out to me and be my friend. She claims I would never text her but I made my attempts and she did not reciprocate like a friend would. She would also get back together with her abusive ex multiple times, like my advice did not matter. She would also hang out with people she claimed to hate. She did this out of lonliness. She made me feel used, where before she would invite me to her room all last year to complain about her ex, which I would listen to, when they are both okay after the 4th time getting back together, I was cast to the side. So when she kept avoiding me, I gave it to her straight over text that I miss her friendship and that I did not need this support in my life right now, and that we were growing apart, she lashed out at me. She claimed I was too sensitive and how I was the problem and that we would still be friends if I wasn't so sensitive. She said it in a much ruder tone though. I avoid her now, and I still feel the hurt from all of that. I only wish it could have ended more amicably because thats how I approached her. I approached it like how my counselor told me to, and she said I have to realize that it may not go the way it is intended to, and she was right, and that is why it hurt all the more.",2.0,"Friend kept bailing out on me. Eventually I confronted her about it in, and how I miss her old friendship in a way that my counselor I see advised. However she was rather nasty, and let me down quite a bit, and the friendship ended on bad terms.",21.0,1.0001474875789864,Recall
3G2UL9A02E0OEUH4Q10FP7J4J7G678,691,26GWIS15,25.0,woman,white,1.0,1.0,4.0,5.0,4.499809670330264,Moving to a new place.,recalled,A friend offered me to live with them.,1.0,,,,,"An event that is memorable to me that happened recently was that I moved to a different area. I used to stay in a basement area and it was really dirty and gross, and had lots of mold. The man upstairs who rented it to me was an alcoholic and he would play his music at stadium level volume and it was very awful to endure.  After almost a year of that, including being harassed non stop for not speaking Spanish, I was able to find another place in a different city away from the man and his awful habits. It only took a day to move out, since I do not have much stuff. I was able to move in with a friend, and my boyfriend and things are much better here. I have personal privacy now, whereas I did not before. I didn't even have a bedroom before in the basement. I had to sleep on the concrete floor with spiders and centipedes around. I hated it and I am glad I was able to move. I am not as depressed and anxious as I was before. I was always getting harassed by Hispanic people for being American and not speaking Spanish. There is no one here that harasses me now. I am currently trying to save up for my own place so that I do not have to deal with roommates ever again. It is very hard to find a place of your own in this economy.",1.0,"I was living in a dirty basement area, and was poor and miserable. I was able to move out with a friend. My life is better now that I have moved and have an actual room now.",90.0,1.1507616575649735,Recall
3WOKGM4L7220LPNO5Y10RSV8NXWO06,5087,V4JL07ZQ,45.0,man,white,1.0,3.0,3.0,5.0,4.499809670330264,the recent birth of my son.,recalled,a doctor being late made us angry at him.,1.0,,,,,"My son was born almost exactly three months ago. Even though he is our second child, I felt many of the same emotions as when our older son was born almost five years ago. However, the circumstances were different enough that even though the experience overall was just as life-changing as I expected, it was more even in terms of emotional volatility. With our first son, we learned late in the process that he would have to be delivered early -- basically up to six weeks early, due to a spike in my wife's blood pressure. This made for a great deal of uncertainty. This time, we anticipated the baby to be induced early, and as such we were calmer throughout the process. Even so, the birthing process is a primal one, even for me, a spouse whose job is to provide support rather than actual physical labor. We went to the hospital at around 7 in the evening, expecting the process to take 24 hours or more as it had with our first child. Ultimately, however, our new baby was born healthy only about 12 hours later. There were some frustrating times during the labor. We did not have a proper ""labor bed"" because we had to switch rooms due to some non-functioning equipment in the initial room. The nurses did not notice this until my wife was about to deliver and it was too late to get a different bed. This made me slightly anxious, but I was calmed by the reassuring demeanor of the medical team. Prior to that, we managed to feel something -- anger -- that we had not expected. The doctors and nurses were very busy because of a full load of patients and multiple births happening at the same time. Because of that, the doctor who was supposed to come to our room to discuss pain relief options, including an epidural, arrived too late to have a meaningful impact on my wife's comfort level. In fact, his callous demeanor made us quite frustrated and upset. Ultimately, though, that faded into the background when our healthy baby boy was born.",2.0,"My wife gave birth to our second child, which took us on an emotional journey. Some snags in the process led both of us to feel anxious and angry at times, but only temporarily. When our son was born, however, we mostly forgot those incidents and were overcome with love and joy.",90.0,0.8478319956846119,Recall
32XVDSJFP0JJHW5Q75Q1ICZIOTQ2M9,2492,382G7247,25.0,woman,white,2.0,2.0,4.0,5.0,4.787491742782046,about my master's degree,recalled,I scored better than I thought.,0.5,,,,,"I was really nervous, I needed to take my final exam in order to finish with my master’s degree. I studied a lot for this test but thought about what would happen if I were to score low on the test. I was up almost all night before the test thinking about this and couldn’t really sleep. I knew I was prepared but I heard the test was really hard. I decided to relax and be detached from the outcome. The morning finally came and the time was up. I picked up my bag and then started the test. It took me around 3 hours to complete it but the whole time I was nervous, some of the answers I knew but my mind suddenly forgot all about them. I tried to do my best and came out of the test wanting to know the results already. I was really nervous and fidgety. The results finally came and I made it, I was so happy because all my hard work had paid off. I even had a higher grade than expected and decided to celebrate with my friends and family. I had a great time with them and they all congratulated me because of my accomplishment. I guess being nervous in this situation was unavoidable. . I felt great and accomplished and now its time to think about new goals.",2.0,I was really nervous because of my masters degree test. I took the test and when the results came I passed. I was really happy and decided to celebrate with my family and friends.,120.0,1.1544144996731085,Recall
37UEWGM5HUU3PR0MT9M4ZSJN1NY1RR,6327,JJHVXQJ0,25.0,woman,native,1.0,1.0,4.0,4.0,68.48976612491926,my brother's surprise visit on his birthday.,recalled,he came to home without informing.,0.875,,,,,"This incident happened nearly five months ago. My brother's birthday was nearing. He was with us for every birthday. But this time as he was in another country he was unable to come. We contacted him to come to home but he said that he was busy in his work. We really felt sad to enjoy his birthday without him. As he was not coming, we didn't arrange for any party at home. His birthday arrived. That day morning door bell was pressed by someone on early morning. To my surprise it was my brother. I was stunned for some minutes. I shed my tears after seeing him. Then he consoled me and got prepared to enjoy his birthday. Soon we arranged for a birthday party and invited our friends. We enjoyed the surprise party to the core.",1.0,I felt sad for not enjoying my brother's birthday party with him as he was not with us. Suddenly on the birthday he made a surprise visit and made me emotional.,5.555555555555556e+29,1.6328964300048696,Recall
31IBVUNM9TLM8DBB9S6ZPRCKYQCVFI,688,3A0C7L7J,35.0,man,other,1.0,4.0,5.0,5.0,2.6390573296152584,not getting a deserved promotion.,recalled,when I wasn't given the promotion.,-0.5,,,,,"A few weeks ago, my boss was fired. Being the second highest ranking person, I should have been promoted to her position. At least on a Interim basis. Unfortunately, the Board decided to hire a extremely under qualified part time staff member. He was hired because he is friends with the board chair. This has been especially concerning since I have been at this job for over 15 years. This has me thinking that our board is actually not very fair and doesn't actually uphold the ideals of the organization. I am now thinking of changing jobs. the problem is I am good at my job. I also Like my Job. It is disappointing to have to look for another job due to cronyism. The organization I work for is suppose to be trustworthy. I guess I was wrong. Again this causes concern because I believed in the organization mission. It is what it is though.",4.0,My boss was fired. Somebody with less qualifications and tenure than myself was hired. I am now looking for a new job.,14.0,1.3829757781696976,Recall
3BV8HQ2ZZXN6XWF2X4CZZYLU9V3A65,5964,TVX1F7RK,25.0,man,black,3.0,5.0,5.0,5.0,136.33257445174794,About how I become doctor.,recalled,When I unexpectedly got this.,-0.5,,,,,"I remember the day we had our counselling after the results were out. I had worked immensely hard for the last one year and was really hoping to get a seat in GMCH. When my seat got confirmed there, I was elated. But more than me, my parents were happy. It was nice to see their proud faces. But that's a story for another day. Today is about the person who was the happiest that day - My GRANDFATHER. On the day of counselling, he accompanied me the office of the Director of Medical Education. On seeing my name in the list of the selected candidates for GMC, he was elated beyond measures. It could be seen in his face; it was being reflected in his eyes and his voice. We went home after the counselling was over. As the entire family sat for lunch, he suddenly called me to his room. I went inside grandpa gave me a box, somewhat twice the size of a typical geometry box, and it looked very old. I opened the box - it contained the equipments I'd be needing for MBBS in the 1st year. I smiled as he gave the box to me. He then said the following words which I'll never be able to forget. He said - “Annu, I had brought this set almost 20 years back. As I was passing by one of the medical supplies shop during my trips (he's a surveyor), my eyes fell upon this box. It was expensive at that time, and more than that- unnecessary, yet, I still bought it, hoping that someday I can give it to my children or grandchildren. You've fulfilled my dream today. Maybe, God wanted me to witness this. Maybe, He has kept me alive for this day only.” That day, I'll make you proud in the truest sense.",5.0,"I still get goosebumps when I replay this scene in my head. Thank you Nanaji, for your undying faith and never-ending support. You've made me who I am today. And the only thing I want to say is that I hope I become a good, honest and witty doctor who is as humane and as understanding as possible.",1.6161616161616164e+59,1.325490405581109,Recall
3DZQRBDBSM1B09EEV20SDV3GNZ7S3S,1121,5P69E1LL,18.0,woman,black,1.0,3.0,4.0,3.0,3.332204510175204,About how disappointing not getting a job was.,recalled,When I wasn't contacted back for the longest time.,0.875,,,,,"I have been feeling sick lately. On the 22nd I went to New York with my partner. They are going back to school at Cornell University and  I have been missing them dearly. But that is not all I have been pulled around by people who want to hire me to work for them, but end up telling me at the last minute that they are going with someone else. It happened with a job I was very excited about. I updated and designed my resume and cover letter for it and answered all of their questions and made it to the final round of the hiring process. They wanted to me to contact them after I talk to a seasonal job I was working at about whether they could accommodate me with having a full-time position as well. I did what they asked and contacted them only to wait two weeks to hear back and nothing. I had almost complete certainty that I had gotten the job so I had already out in my two weeks notice at one of the places I was working at. O guess I jumped the gun since after messaged the new job again did they finally get back to me saying that they were gonna go with other candidates. I was heart broken to be honest. I felt awful for a little bit. I felt like I was never gonna find the job of my dreams. I still kind of feel that way. But I can't let bad luck deter me from keep trying because if I am sad too long and accept what happens then maybe I could miss out on it.",4.0,My partner goes back to school and I am feeling lonely. I am stressed because job hunting has been bad for my self esteem.,28.0,1.0565064715838874,Recall
3ZOTGHDK5JX0MY70E0KK1Y1RFW6SOZ,1430,29V5BQDU,25.0,man,white,4.0,4.0,3.0,5.0,4.787491742782046,My career selling marijuana,recalled,The second time I got arrested,1.0,,,,,"I had spent a couple of years of my life selling marijuana. I've been out of the game for about 3 months now, and while I would never consider going back to it, I do like to reflect every now and then. It all started with a girl I had met in college. A woman, really. She was about 5 years older than me at the time, I 19, she 24. Before I had met her I had no interest in doing any kind of drugs. I was going to school for criminal justice and felt I could have a good future as a police officer. That dream ended when I started smoking. I just wanted her to think that I was cool (spoiler alert, she did not).I hadn't grown up doing a lot of bad things. I hadn't grown up being afraid or wary of the police. So when I drove into a motel parking lot to spark up a bowl (only about a block away from my residence, I had lived with my parents at the time, who were not cool with the MJ). When a cop pulled up to me with his lights on mid bowl hit, I was petrified. The only time I had been stopped by police was for a traffic ticket. Lo and behold, 2 random pills that I had never seen before or heard of in my life materialized in my center console, and I was taken in for possession of a controlled substance. I started selling marijuana to various peoples to pay off my gigantic attorney fee. Fast forward a little bit and I get arrested, again, for having an ounce of weed on me. Since I was driving at the time and the car smelled like weed, I was given a DWAI. I am still working on getting my license back, and in the end it wounded up costing me more trouble than it was worth.",1.0,Started smoking weed to impress a girl and got arrested. Started selling weed to pay off attorney fees and got arrested again.,120.0,1.09108874549753,Recall
39PAAFCODNMWRITC4CBO6VRLFZ6VT2,3541,I9CHA6AS,25.0,man,white,1.0,3.0,5.0,5.0,1.9459101490553128,being in an armed robbery.,recalled,I saw 2 armed men pointing guns at people in the convenience store.,1.0,,,,,"Last Thursday started out like any other day, but boy did that change. I headed to class at my usual time of 10:00 a.m.  I decided to stop by the convenience store and grab a coffee and a snack on the way. That was a huge mistake. I was standing in line waiting to pay for my items when I hear someone scream loudly! I look towards the sound and see a man holding a woman at gunpoint. Another man emerges with a gun and tells the cashier to empty the cash register into a bag. The cashier complied and the men ran from the store. The cashier had tripped  the silent alarm, so the robbers were caught before they could get into their car. When all the police started streaming into the parking lot, with guns drawn, it was the most surreal feeling. Almost like watching a television show. Thankfully, nobody was hurt and the bad guys were arrested. The whole ordeal was over in less than 10-minutes. It was probably the most frightening 10-minutes I have ever experienced. I found out today that the robbers were teenagers. They will be tried as adults. I don't want to be afraid of going into a store for the rest of my life, but being in an armed robbery is very negative emotionally. This event did remind me to enjoy each day because we never know when it might be our last.",4.0,"My day started as normal as any other day, but soon took a turn for crazy. I was involved in an armed robbery of a convenience store. Nobody was hurt and the robbers were arrested before they could escape with the money.",7.0,1.336174926971231,Recall
3YMTUJH0DT2XX5AXKGA1X5R8S4H4TB,903,7MXOX74L,30.0,man,white,1.0,1.0,3.0,3.0,3.4011973816621555,a car accident.,recalled,I informed insurance I had a dash cam,0.5,,,,,"Last month I was involved in a car wreck. It was not my fault at all, some imbecile ran a stop sign and t-boned me. However, the idiot told the cops I ran a red light, and since there were no witnesses, it was a mess. However, luckily for me, I had  a dashcam installed only a few weeks prior. I was able to go to my insurance company and tell them I had footage. They took this footage to the other insurer and I was offered damages for my car. I refused and said I wanted damages and diminished value for my car, since if I try to sell it, it will come up as a car that was in a wreck. Initially they refused, but since I had a tape of what had happened, I was eventually able to get damages plus diminished values. It took way longer than it should have and I was in a rental car for over 2 weeks.  However, on the plus side, the rental car was a really cool Jeep that I would have never driven before. It was brand new, with only a couple hundred miles on it. It was like having an extended test drive. And that test drive happened to be free eventually. I hated having to do this because insurance companies move so slowly. I had to initially pay for the rental without knowing if I would get reimbursed.",2.0,"I was in a car wreck that wasn't my fault. Other driver blamed me, but I had dashcam footage to back up my story.",30.0,1.2666598336441806,Recall
3LPW2N6LKUOUT1TMYQJL7TJOVMK5U9,3453,FR0Q3S0C,25.0,woman,white,1.0,4.0,4.0,5.0,3.4011973816621555,My daughters first day of school ever,recalled,Thats she was okay with me leaving,0.125,,,,,"Today one of my youngest children started school. I’ve been scared for this day beings that I didn't enroll my oldest. I spent weeks shopping for school clothes. Her first outfit was a French schoolgirl skirt and a polo. She isn’t in private school, but I want her to be a smart kid that is very involved in her schoolwork. She was so excited; this mommy was so scared. She enrolled late, one because I didn't have her social, secondly because I was so scared. See she isn't my youngest... She’s my second youngest but somehow, I have kept her more innocent than the rest.  What if kids teach her thing, I don't feel she should know. She’s only 5. I didn’t have a chance to meet the teacher much due to her being late. They told me quick goodbyes is the best. That scared me more. On the other hand. She just walked right into that gym. Let go of my hand and found her way with little help from me. I didn’t want to give a quick goodbye what is she was scared? Well she wasn’t scared she just wanted her mommy to go away. That’s when I realized this is much scarier to let my girl grow her wings and her freedom than it is for this mommy to allow her to grow her wings. I know she’s going to fall sometimes. I know she is going to learn things I am not okay with. She’s also nicer than myself to others (which was always my goal) so that mean she is going to get bullied sometimes. I just hope I taught her how to correctly stick up for herself. I hope I taught her right and wrong well enough. Lastly, I hope I have taught her and am still teaching her that I will always be here, If she did something wrong, I will be there to help her, If she falls, I will be there to catch her.",3.0,My daughter started kinder garden. I was scared. She was excited. In the end it ended up all okay. I am glad she is in school she is happier and doing an amazing job in school. She gets smarter everyday.,30.0,1.2595652430773885,Recall
3C8HJ7UOP8G9N782WCZF5N9P7BRZMW,1341,RRH7AW20,40.0,woman,white,1.0,2.0,2.0,3.0,5.1929568508902095,about me breaking up with someone at the park,recalled,I felt guilty and like I had wronged someone for doing the right thing,0.125,,,,,"About a year ago, I went out on a few dates with someone I met online in a dating app. I did not enjoy his company very much, I continued dating him out of a sense of boredom. He started to really develop deep feelings for me, feelings that I did not return in kind. I still continued to date him for a time just to hang out as friends, but then about six months ago I broke up with him as a romantic dating partner to move on with someone else. He was very confused and hurt by this event, and accused me of leading him on and giving him false encouragement, so I ended out friendship and I cut off all contact with him. I felt very guilty for presuming to continue to spend time with someone that I knew I felt zero chemistry with just to have a friend to spend time with. I regretted having to be so abrupt and cold when I broke up with this person, too. I wish there would have been a way to remain friends, because he was a nice person and I enjoyed his company on a friendship level. I was resigned to the fact that this would not be possible after the way things happened and evolved with the break up, though. At first I felt bad for being unable to conjure up feelings that just weren't there for him and for hurting his feelings, but eventually I began to see things in a slightly different way. I think it is quite common for people to have a variety of dating experiences that aren't ideal in some form or other while they're out there searching for people they want to be with romantically. There are never any guarantees or promises in romantic situations in the early stages, before there is any kind of commitment made and while feelings are still developing or unclear. Even if I am not the best judge of chemistry, it is not wrong to end a relationship with someone you don't feel a romantic attraction to. I feel that trying to compromise or settle in dating relationships will cause everyone involved to have unnecessary pain and heartache in the end. So I was sorry for hurting anyone's feelings, but I do not regret doing what I did in the end. I did not wrong anyone by dating them and giving them a fair chance, and by being their friend, simply because I didn't ultimately develop romantic feelings for them in the end.",3.0,"I had a break-up in a park with someone I was dating. He didn't take it well and at first I felt very guilty about how I handled things. Eventually I came to see that breaking up was the right thing to do, and that I wasn't really leading anyone on with false promises - things just didn't work out.",180.0,0.7321547027887129,Recall
